idPelicula,idPlataforma,precio,fechaAlta
12,4,18.08,2025-11-01
249,1,13.24,2022-07-30
223,1,12.93,2020-10-12
324,1,5.18,2025-02-28
484,2,12.95,2023-11-20
219,2,16.76,2023-05-09
53,2,18.15,2022-11-09
426,4,6.64,2022-03-31
74,1,12.78,2025-12-06
159,1,9.43,2024-09-14
443,3,9.92,2024-06-30
405,4,9.57,2021-07-28
78,1,8.92,2022-01-06
140,4,18.67,2021-10-12
299,4,13.14,2021-02-07
335,4,13.3,2023-05-06
329,2,16.44,2020-10-08
224,1,14.12,2021-04-16
254,2,13.66,2024-08-21
327,2,11.36,2025-03-08
448,3,17.82,2024-03-20
476,2,6.13,2020-04-30
231,2,6.87,2021-08-06
289,3,4.47,2023-12-07
40,1,17.41,2025-05-09
31,4,3.82,2021-05-26
96,2,12.43,2022-01-17
27,3,9.12,2023-08-04
186,2,9.83,2022-02-23
293,1,6.09,2020-09-16
338,1,18.35,2021-06-17
404,3,4.91,2025-05-13
454,3,5.62,2025-09-26
161,3,18.61,2025-01-08
140,1,17.67,2023-08-19
168,3,7.4,2024-08-08
444,3,19.87,2022-02-26
429,3,19.3,2024-12-23
21,1,5.06,2021-12-30
436,1,11.75,2023-05-06
482,1,18.5,2023-12-12
344,1,12.65,2023-10-01
347,1,8.54,2022-07-02
341,3,19.34,2024-02-28
145,1,13.31,2022-07-17
120,3,5.14,2025-04-14
98,1,9.62,2025-09-24
348,4,19.84,2023-07-06
16,1,8.2,2024-12-10
422,2,14.9,2025-03-25
89,3,5.07,2020-01-20
92,1,8.75,2023-02-13
310,2,12.61,2021-06-03
449,1,9.51,2020-09-03
489,2,3.94,2023-12-27
58,2,11.97,2022-12-28
33,1,5.83,2020-07-21
484,4,8.15,2022-01-02
132,4,10.44,2022-09-14
338,4,9.92,2022-06-21
75,2,16.94,2023-10-08
446,2,19.67,2024-06-09
296,4,12.47,2025-06-10
42,1,18.91,2025-08-19
341,1,10.71,2021-05-26
150,2,11.45,2023-11-19
339,3,7.85,2022-09-19
42,3,19.45,2022-09-16
462,3,11.28,2021-04-22
471,3,8.04,2025-09-05
154,3,18.42,2020-02-20
86,2,3.16,2024-11-07
29,3,6.07,2024-03-25
357,4,9.7,2022-09-29
125,4,9.79,2022-05-19
56,1,18.98,2024-08-18
99,1,11.43,2021-12-17
178,1,3.78,2020-06-09
107,3,3.07,2020-07-04
204,2,6.91,2025-04-12
190,2,12.43,2022-07-19
246,4,17.26,2023-08-23
413,1,16.73,2021-08-17
466,3,5.77,2021-07-04
55,1,16.51,2021-01-21
221,4,8.93,2024-07-14
459,2,8.49,2022-01-03
480,3,9.15,2023-06-04
499,1,4.68,2022-08-10
37,1,18.36,2022-06-26
37,4,18.59,2023-04-18
28,4,12.17,2022-11-17
106,1,15.83,2024-06-27
261,2,3.82,2023-05-18
22,1,12.44,2025-02-04
60,1,8.69,2022-10-18
221,2,11.4,2021-06-18
23,2,6.58,2021-02-07
