"id_comentario","id_valoracion","email_usuario","id_pelicula","texto","fecha"
1,3304,"delgadokevin@example.org",52,"Every network own region who certain know. Analysis beat every successful.","NULL"
2,"NULL","amanda34@example.com",122,"Different soldier activity nation television alone dark. Boy strong law minute government.","NULL"
3,"NULL","darrellwalsh@example.net",350,"Say social beat heart down white. Husband born star in turn often.","NULL"
4,"NULL","matthewhamilton@example.net",130,"Indicate country six themselves garden stage cup. Vote go take hand certainly.","NULL"
5,"NULL","smitherin@example.org",295,"Recent responsibility live protect many. Appear fear race control Mr.","NULL"
6,"NULL","tuckerdenise@example.net",167,"Phone fact by interview under think mean. Although early sister member.","NULL"
7,"NULL","hughesanna@example.com",114,"Administration smile respond. Source major everything movie many teacher adult.","NULL"
8,"NULL","jamestorres@example.org",205,"Card effort try rise mother color population. Play task defense my word get.","NULL"
9,"NULL","aabbott@example.com",306,"Seven example far majority occur some certainly. Ball beat field environment.","NULL"
10,"NULL","bridgesjoshua@example.com",477,"Hand night indicate discuss general. Maybe whom much four allow leader.","NULL"
11,"NULL","boonecassandra@example.org",315,"Sit responsibility campaign available picture why.","NULL"
12,"NULL","rjohnson@example.org",56,"Event road baby impact season factor build.","NULL"
13,"NULL","catherine32@example.org",178,"Back front treatment financial. Hit discussion wide difference main relate.","NULL"
14,"NULL","shepparderic@example.net",46,"Claim hope appear decide spring. State machine best stock. Become section catch by sell.","NULL"
15,"NULL","qfisher@example.com",244,"Language prepare professional effect general poor. Among case young. Rate building stand.","NULL"
16,"NULL","tchurch@example.com",288,"Option argue paper interest between. Cup seek new represent.","NULL"
17,"NULL","vanessa91@example.com",205,"Nothing work by officer admit understand visit. Sometimes rise fight for game.","NULL"
18,"NULL","gabriel76@example.net",464,"Better note improve tell free measure apply watch. Everybody before stay material.","NULL"
19,"NULL","caitlyn87@example.org",208,"Leader treat piece people. Ask book may up final after agreement. Mission certain close them.","NULL"
20,"NULL","thomascraig@example.com",75,"History method better drug child inside who. Score herself summer chair able player teach.","NULL"
21,"NULL","vlong@example.net",429,"Yet should not political.
Rest personal name no participant. Build political leader campaign sea.","NULL"
22,"NULL","michaelturner@example.net",299,"South black four. See star good movement serve.","NULL"
23,"NULL","fosterbrittney@example.com",57,"Almost into water gas price list test near. Impact food dark factor would reason local.","NULL"
24,"NULL","cody69@example.net",260,"Change next party several. Congress such natural hotel. Through computer machine same film.","NULL"
25,"NULL","ymoore@example.net",247,"Political total there plan act. Begin test improve lose. Chance list increase remember floor.","NULL"
