idValoracion,emailUsuario,idPelicula,puntuacion
1,amandarich@example.com,1,10
2,annagonzalez@example.net,2,7
3,kfields@example.net,1,6
4,saraguzman@example.net,4,7
5,kristi78@example.org,5,9
6,vickihenderson@example.net,4,7
7,dylanhill@example.net,5,6
8,gwhite@example.org,2,7
9,jessica78@example.net,1,6
10,jessicafry@example.net,4,8
11,romankatrina@example.net,3,6
12,cobbrebecca@example.net,4,5
13,linda08@example.org,1,2
14,orice@example.com,1,10
15,vduncan@example.org,3,9
16,adamsmark@example.net,4,4
17,parkpaul@example.com,2,4
18,allengregory@example.org,3,9
19,lori02@example.com,3,8
20,hherrera@example.net,3,3
21,koliver@example.org,1,6
22,thomasfitzgerald@example.com,2,5
23,michaelpratt@example.net,1,9
24,dcollins@example.org,4,2
25,thomas18@example.net,1,5
26,gpeterson@example.net,2,3
27,sarah52@example.com,3,3
28,chuffman@example.org,1,3
29,whitney62@example.net,4,9
30,gbaldwin@example.net,5,6
31,brandon36@example.org,4,10
32,holly24@example.org,4,9
33,lflores@example.org,1,8
34,michaelbryant@example.com,5,2
35,michaelwashington@example.com,1,8
36,julie38@example.org,2,9
37,gregoryestrada@example.org,2,6
38,sydneylee@example.net,4,3
39,xcharles@example.org,4,2
40,shepardlisa@example.org,1,5
41,randygarrett@example.net,3,3
42,upatterson@example.net,4,10
43,jacobwilliams@example.net,1,2
44,iandersen@example.com,3,2
45,jpetty@example.com,5,10
46,burkejennifer@example.net,1,10
47,lutztravis@example.com,3,8
48,swilson@example.org,3,3
49,christopher53@example.org,4,3
50,kelleyjennifer@example.net,3,7
51,robertfoster@example.org,5,6
52,amandadorsey@example.com,2,9
53,robertcase@example.org,1,10
54,toddrodriguez@example.org,5,7
55,grayjennifer@example.org,5,7
56,sandra58@example.com,1,8
57,josephdickson@example.com,2,1
58,breynolds@example.net,5,8
59,ocobb@example.com,5,7
60,daryl45@example.org,1,9
61,charlotte62@example.net,3,6
62,thomasrebecca@example.com,2,9
63,qdouglas@example.com,3,10
64,qwilliams@example.com,5,10
65,snowdonna@example.com,4,2
66,smithlogan@example.com,4,8
67,fadams@example.com,1,7
68,jasonmarks@example.net,1,7
69,wesleybenjamin@example.net,2,6
70,caldwelldawn@example.com,3,8
71,bradleywheeler@example.org,1,5
72,goldenmichael@example.com,4,8
73,danielle92@example.com,5,5
74,odommichael@example.org,2,7
75,myersjohn@example.com,3,8
76,gregory55@example.org,5,1
77,ocook@example.org,4,7
78,dlewis@example.net,1,3
79,rosskenneth@example.net,2,1
80,jefferylong@example.net,5,1
81,naguilar@example.org,5,4
82,npeterson@example.org,4,4
83,higginssharon@example.com,5,9
84,stevenmclaughlin@example.com,5,4
85,brianfarley@example.net,3,9
86,nbrowning@example.net,2,3
87,dmoreno@example.net,2,4
88,rodriguezkaylee@example.org,4,10
89,wtaylor@example.net,1,4
90,kimberlyhenderson@example.org,2,8
91,tsmith@example.com,2,4
92,bradychristine@example.org,2,2
93,james15@example.net,2,8
94,michaelrasmussen@example.net,2,2
95,christine06@example.com,2,3
96,edwinortiz@example.net,1,6
97,priscillamurphy@example.com,4,4
98,diazjoy@example.org,4,3
99,jonathanknight@example.com,3,7
100,ericholt@example.net,5,7
101,tracystone@example.org,1,4
102,whitakerstacey@example.net,4,4
103,hendersoneric@example.net,3,7
104,paige80@example.org,4,9
105,rowestephanie@example.net,2,1
106,whiteaaron@example.org,2,9
107,zstokes@example.net,3,8
108,samuel85@example.org,2,4
109,shannon53@example.org,5,9
110,smartin@example.net,3,3
111,kyleschultz@example.net,1,2
112,jwyatt@example.org,1,4
113,mcclainelizabeth@example.org,3,9
114,caitlinreed@example.net,5,3
115,tannerbeverly@example.com,4,10
116,adrianbaird@example.org,3,1
117,evan73@example.net,2,6
118,kathleen94@example.org,2,7
119,julie06@example.org,5,2
120,johnharrison@example.net,1,10
121,balleric@example.com,5,2
122,thomashale@example.com,2,1
123,nsmith@example.org,5,4
124,pdavis@example.org,3,3
125,kingjennifer@example.net,2,6
126,douglas84@example.com,1,4
127,lindaallen@example.net,5,4
128,huffstephanie@example.com,2,1
129,bobbymorrison@example.com,1,10
130,brookealexander@example.com,3,3
131,brandy62@example.org,2,10
132,westchristopher@example.com,3,3
133,debra49@example.org,2,9
134,tiffany48@example.com,1,3
135,imccoy@example.net,5,10
136,rivasmitchell@example.com,4,3
137,fdavis@example.net,1,8
138,donald52@example.com,2,3
139,ortizalexandria@example.net,3,1
140,leslie03@example.net,2,2
141,avilaruth@example.com,5,4
142,frenchlauren@example.com,3,5
143,garciacarl@example.net,5,4
144,xpowell@example.com,1,4
145,taylorwarren@example.org,2,7
146,nnichols@example.com,4,3
147,brownkatie@example.com,5,10
148,amejia@example.net,3,1
149,peter81@example.com,2,8
150,phudson@example.com,3,2
151,elizabeth86@example.org,4,6
152,sean91@example.net,4,8
153,wmartinez@example.org,5,5
154,james98@example.com,3,10
155,jodi35@example.net,4,3
156,lisa81@example.com,4,5
157,asantiago@example.com,3,6
158,angela81@example.com,5,6
159,bradley72@example.org,4,4
160,jessicawilliams@example.com,3,4
161,matthewmills@example.org,3,10
162,jacob67@example.net,5,2
163,dennis53@example.org,2,1
164,jlynch@example.com,3,7
165,sbryant@example.org,2,4
166,tiffany24@example.net,2,9
167,patrickhooper@example.org,4,10
168,xcochran@example.com,3,4
169,clewis@example.com,4,8
170,megan65@example.com,2,4
171,aaron67@example.org,3,3
172,nking@example.net,2,9
173,karenclark@example.com,3,5
174,kevinzuniga@example.com,5,6
175,katieguerra@example.net,3,5
176,carolyn45@example.com,5,4
177,stephenrussell@example.net,1,1
178,azimmerman@example.com,1,6
179,williamssharon@example.net,5,10
180,ckeller@example.net,2,4
181,thorntoncarl@example.org,1,10
182,randymcintosh@example.net,3,7
183,sotojean@example.org,1,2
184,paulwilson@example.net,1,7
185,maria12@example.com,5,7
186,johnhopkins@example.com,2,1
187,wpruitt@example.net,1,8
188,zacharymorales@example.com,1,2
189,oconnellscott@example.com,3,8
190,melvin30@example.org,4,4
191,stephaniehall@example.com,5,7
192,fbarnett@example.org,3,6
193,matthewcombs@example.net,5,10
194,johnsjennifer@example.org,4,2
195,greenesarah@example.net,4,2
196,brooksbenjamin@example.net,3,5
197,jamesrodriguez@example.org,2,9
198,lharper@example.net,4,4
199,jenna75@example.net,2,10
200,michael76@example.org,2,8
201,valerie03@example.net,2,8
202,angela58@example.net,4,2
203,scottmurray@example.org,2,3
204,christine23@example.net,3,4
205,montgomerykirk@example.com,3,7
206,allisonvazquez@example.net,4,4
207,ianthony@example.org,2,4
208,gthompson@example.net,4,3
209,deborahpierce@example.com,2,1
210,ffrye@example.com,2,4
211,james75@example.org,2,2
212,caitlynmyers@example.com,4,6
213,jamie95@example.org,2,8
214,david31@example.net,3,10
215,hmcdowell@example.org,3,2
216,bowmanrachel@example.org,4,3
217,heidi30@example.org,5,4
218,taylorrocha@example.net,1,10
219,powelltimothy@example.net,2,3
220,barnessara@example.org,3,10
221,deborahjackson@example.net,2,3
222,guerrerowilliam@example.com,5,6
223,michelle43@example.net,5,5
224,elizabethosborne@example.com,2,7
225,walkeredwin@example.com,2,5
226,sarahballard@example.com,3,9
227,paullane@example.net,5,5
228,jeffrey53@example.com,3,9
229,kpruitt@example.com,1,3
230,hancocksierra@example.org,5,5
231,rogersmartha@example.net,5,7
232,gail05@example.net,1,10
233,amber27@example.org,1,10
234,brocksteven@example.com,5,4
235,bailey88@example.org,1,1
236,garymiller@example.net,3,6
237,gloria64@example.com,3,5
238,mharrington@example.net,1,1
239,changfrances@example.org,5,1
240,crystal69@example.com,2,2
241,bryan60@example.net,1,9
242,mccormickroberta@example.net,5,10
243,osbornesteven@example.org,5,2
244,holdenchase@example.com,2,7
245,michaeldavis@example.com,3,3
246,marie13@example.net,1,4
247,rperez@example.net,2,1
248,crystalchavez@example.org,4,4
249,micheal75@example.org,3,4
250,cruzhailey@example.com,3,9
251,robert55@example.com,4,6
252,lisatucker@example.com,2,8
253,michael42@example.com,4,2
254,catherinereed@example.com,2,7
255,kayla80@example.com,4,6
256,david48@example.com,5,10
257,joseph51@example.net,5,4
258,amorris@example.org,4,5
259,mmayo@example.com,3,1
260,linda00@example.org,4,3
261,barbara33@example.org,3,7
262,robertkelly@example.com,3,4
263,craig88@example.org,4,1
264,gfoley@example.net,1,5
265,sydneymays@example.net,5,6
266,johnsongregory@example.org,2,1
267,larrymontes@example.net,2,1
268,mnorris@example.org,5,7
269,rrichardson@example.com,5,7
270,susanbutler@example.net,3,4
271,sergio88@example.org,1,8
272,shawcrystal@example.net,2,10
273,cooperjessica@example.com,2,4
274,davilajames@example.com,4,1
275,rodriguezalice@example.net,4,4
276,christinawelch@example.com,1,7
277,johnmeadows@example.org,3,5
278,brianagarcia@example.org,4,5
279,jeffreyrosario@example.net,3,5
280,iwest@example.com,2,1
281,lisa07@example.net,2,1
282,joshualynch@example.org,5,7
283,mahoneytony@example.net,4,8
284,nicholas97@example.org,4,2
285,knightamber@example.org,1,1
286,sburns@example.com,1,2
287,bruce27@example.net,2,1
288,kevinrichmond@example.com,3,4
289,virginia86@example.com,3,6
290,amanda38@example.com,2,8
291,gregoryodom@example.com,5,7
292,moorejacob@example.com,4,8
293,gibsonmichael@example.org,2,5
294,kayla88@example.com,5,9
295,anthonybeck@example.com,5,3
296,pauldavis@example.org,5,10
297,turnerjulie@example.net,4,7
298,stokesheidi@example.org,5,3
299,jesserichmond@example.com,4,3
300,bparker@example.org,1,5
301,katherinerowe@example.org,5,8
302,leejeffrey@example.org,3,7
303,amanda70@example.org,5,6
304,adam28@example.com,3,9
305,brooksjeff@example.com,2,4
306,stevensjamie@example.org,3,1
307,nestrada@example.org,2,3
308,riverasara@example.org,5,6
309,millersamantha@example.org,4,4
310,erinboyd@example.org,3,2
311,parkerphyllis@example.net,3,5
312,colemanricky@example.net,5,5
313,cherylbarrett@example.org,2,7
314,npruitt@example.net,5,10
315,alex45@example.net,5,8
316,michael31@example.net,1,8
317,laurenwatson@example.com,2,8
318,eddie11@example.com,1,5
319,kyle85@example.net,4,10
320,tarawright@example.com,4,10
321,mhart@example.com,4,6
322,cuevasamanda@example.org,5,6
323,ojones@example.com,3,3
324,debbie26@example.com,4,8
325,bwagner@example.org,3,8
326,richard04@example.com,1,6
327,allisonwarren@example.com,2,1
328,faulknermiranda@example.net,1,10
329,leeelizabeth@example.org,5,4
330,juandixon@example.com,3,6
